trade_date,trade_month,interest_rate
5-Feb-18,2,1.5
6-Feb-18,2,1.5
7-Feb-18,2,1.5
8-Feb-18,2,1.5
9-Feb-18,2,1.5
12-Feb-18,2,1.5
13-Feb-18,2,1.5
14-Feb-18,2,1.5
15-Feb-18,2,1.5
16-Feb-18,2,1.5
19-Feb-18,2,1.5
20-Feb-18,2,1.5
21-Feb-18,2,1.5
22-Feb-18,2,1.5
23-Feb-18,2,1.5
26-Feb-18,2,1.5
27-Feb-18,2,1.5
28-Feb-18,2,1.5
1-Mar-18,3,1.5
2-Mar-18,3,1.5
5-Mar-18,3,1.5
6-Mar-18,3,1.5
7-Mar-18,3,1.5
8-Mar-18,3,1.5
9-Mar-18,3,1.5
12-Mar-18,3,1.5
13-Mar-18,3,1.5
14-Mar-18,3,1.5
15-Mar-18,3,1.5
16-Mar-18,3,1.5
19-Mar-18,3,1.5
20-Mar-18,3,1.5
21-Mar-18,3,1.5
22-Mar-18,3,1.5
23-Mar-18,3,1.5
26-Mar-18,3,1.5
27-Mar-18,3,1.5
28-Mar-18,3,1.5
29-Mar-18,3,1.5
3-Apr-18,4,1.5
4-Apr-18,4,1.5
5-Apr-18,4,1.5
6-Apr-18,4,1.5
9-Apr-18,4,1.5
10-Apr-18,4,1.5
11-Apr-18,4,1.5
12-Apr-18,4,1.5
13-Apr-18,4,1.5
16-Apr-18,4,1.5
17-Apr-18,4,1.5
18-Apr-18,4,1.5
19-Apr-18,4,1.5
20-Apr-18,4,1.5
23-Apr-18,4,1.5
24-Apr-18,4,1.5
26-Apr-18,4,1.5
27-Apr-18,4,1.5
30-Apr-18,4,1.5
1-May-18,5,1.5
2-May-18,5,1.5
3-May-18,5,1.5
4-May-18,5,1.5
7-May-18,5,1.5
8-May-18,5,1.5
9-May-18,5,1.5
10-May-18,5,1.5
11-May-18,5,1.5
14-May-18,5,1.5
15-May-18,5,1.5
16-May-18,5,1.5
17-May-18,5,1.5
18-May-18,5,1.5
21-May-18,5,1.5
22-May-18,5,1.5
23-May-18,5,1.5
24-May-18,5,1.5
25-May-18,5,1.5
28-May-18,5,1.5
29-May-18,5,1.5
30-May-18,5,1.5
31-May-18,5,1.5
1-Jun-18,6,1.5
